gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000176681,LRRC37A,-14.9783617568,-0.299042933751,1.01692924663e-50,0.21853282085,0.589343973813,1.69321503043e-18,2.44316309157e-16,24,29,29
ENSG00000238083,LRRC37A2,-14.8968720848,-0.322063071019,3.45373604129e-50,0.185122423334,0.578588509951,5.26003827966e-18,6.31817656151e-16,42,47,47
ENSG00000225190,PLEKHM1,13.9483549049,0.281999769562,3.21945930303e-44,0.219694481305,0.477640305523,6.57471127624e-14,2.09520639757e-12,24,39,39
ENSG00000185829,ARL17A,-13.6967860551,-0.275235197594,1.06118480201e-42,0.207361062639,0.600353362052,5.14577679658e-19,9.45318646074e-17,38,55,55
ENSG00000186868,MAPT,12.3720018402,0.592589980284,3.70471538737e-35,0.032166308328,0.219936844272,3.56081046072e-06,1.27822058065e-05,11,30,30
ENSG00000184922,FMNL1,10.7057937436,0.434929845021,9.56077612734e-27,0.0527417470785,0.229149738047,2.08423913695e-06,8.02606908756e-06,16,25,25
ENSG00000185294,SPPL2C,-10.0754868622,-1.00289579183,7.09087354138e-24,0.00756646115585,0.125232580841,0.000668660147541,0.00113061500711,8,19,19
ENSG00000136243,NUPL2,8.62345159822,0.115211634997,6.49656415853e-18,0.323576307105,0.537304173231,3.17740681907e-16,1.98462757039e-14,36,36,36
ENSG00000136235,GPNMB,8.43312833609,0.177608491246,3.36545282585e-17,0.149569988978,0.196015843318,1.39606666897e-05,4.2084541925e-05,19,21,21
ENSG00000145217,SLC26A1,7.709749976,0.113967322313,1.2606446602e-14,0.283642258647,0.342621475447,1.69662170279e-09,1.53582638506e-08,42,63,63
ENSG00000136448,NMT1,6.48323087004,0.164867822537,8.97789551116e-11,0.114614996381,0.222962229519,2.98830738628e-06,1.09665976367e-05,39,55,55
ENSG00000196812,ZSCAN16,-6.43474792066,-0.319762306683,1.2367841369e-10,0.0260837573096,0.0444298163328,0.0473946473646,0.0379122086764,13,19,19
ENSG00000103510,KAT8,-5.92034986542,-0.11389988161,3.2125745137e-09,0.188158029796,0.276783237881,1.19150696287e-07,6.47702933745e-07,16,17,17
ENSG00000214871,AC005082.1,5.69095684975,0.100452983207,1.26329432531e-08,0.201981610762,0.139211175732,0.000316855602569,0.000605970395336,60,64,64
ENSG00000108379,WNT3,-5.4964825088,-0.147057727979,3.87441503926e-08,0.10204289115,0.280274224845,9.59746202967e-08,5.32383036682e-07,7,9,9
ENSG00000168517,HEXIM2,5.26348592886,0.142531967607,1.41349330678e-07,0.0785668955885,0.0395037280099,0.061870374679,0.0467739182677,25,38,38
ENSG00000178252,WDR6,-5.08066072865,-0.139405800479,3.7612434136e-07,0.0794571513572,0.125655849895,0.000653773692454,0.00110784322705,12,12,12
ENSG00000124635,HIST1H2BJ,4.43413964661,0.139346186659,9.24406957814e-06,0.0554430303277,0.0568312339732,0.0244652287096,0.0226052222417,17,19,19
ENSG00000117280,RAB7L1,4.42292929919,0.116261437981,9.73716124818e-06,0.0974809646466,0.175677511502,4.34804723258e-05,0.000111030935106,20,23,23
ENSG00000214447,FAM187A,4.38033344834,0.139852326889,1.1849783593e-05,0.0732024435341,0.0654088069225,0.0155622443698,0.0156123871177,41,46,46
ENSG00000163938,GNL3,-4.36461955705,-0.116764860587,1.27344187818e-05,0.0759047477891,0.19049417363,1.90466370432e-05,5.51281048026e-05,10,11,11
ENSG00000187987,ZSCAN23,4.21828644094,0.158132965658,2.46165972076e-05,0.0459667083223,0.191405079814,1.80972521923e-05,5.27714915054e-05,15,21,21
ENSG00000198315,ZKSCAN8,-4.21081397212,-0.100503972433,2.54452215647e-05,0.100229185201,0.1164984577,0.00106276090316,0.00166618199256,55,62,62
ENSG00000115041,KCNIP3,-4.16838347366,-0.183184618338,3.06767520732e-05,0.0553467029237,0.0811732979623,0.0068065710625,0.00794749911437,10,24,24
ENSG00000198218,QRICH1,-4.11559113898,-0.158614933332,3.86188358181e-05,0.04312394238,0.172651736356,5.13914984638e-05,0.000128192658281,17,20,20
ENSG00000145730,PAM,-4.04933142133,-0.0922994852402,5.13641617627e-05,0.113093174999,0.122830095493,0.000759728392646,0.00125603748506,35,37,37
ENSG00000110057,UNC93B1,-4.0192021534,-0.179133428898,5.83955517167e-05,0.0616361223074,0.164240841488,8.15946313814e-05,0.000189747652592,37,52,52
ENSG00000113621,TXNDC15,-4.00221606516,-0.0478145205864,6.27519523267e-05,0.349543900584,0.345590892665,1.38769390103e-09,1.27465003978e-08,45,49,49
ENSG00000204642,HLA-F,-4.00131814412,-0.745893321694,6.29905972079e-05,0.00194890023246,0.198322132822,1.22556318291e-05,3.76349162819e-05,6,33,33
ENSG00000241370,RPP21,-4.00028339125,-0.275180269956,6.32666740139e-05,0.0164386139473,0.0444194453667,0.0474211134249,0.0379154058597,6,10,10
